City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,71.1,90,0,6.91,ZA,1675807183
1,cidreira,-30.1811,-50.2056,76.33,74,9,10.8,BR,1675807328
2,puerto ayora,-0.7393,-90.3518,85.96,91,28,8.99,EC,1675807340
3,rikitea,-23.1203,-134.9692,78.82,74,84,12.12,PF,1675807340
4,puerto boyaca,5.9758,-74.5885,90.25,54,76,0.38,CO,1675807341
5,mataura,-46.1927,168.8643,52.48,83,87,9.78,NZ,1675807341
6,hobart,-42.8794,147.3294,58.86,65,75,10.36,AU,1675807342
7,kruisfontein,-34.0033,24.7314,68.88,80,99,1.77,ZA,1675807342
8,carnarvon,-24.8667,113.6333,76.37,68,0,18.5,AU,1675807343
9,albany,42.6001,-73.9662,38.68,47,100,4.0,US,1675807271
10,mar del plata,-38.0023,-57.5575,75.22,88,40,18.01,AR,1675807190
11,hofn,64.2539,-15.2082,32.79,70,100,21.05,IS,1675807352
12,saint-francois,46.4154,3.9054,32.95,82,0,0.0,FR,1675807352
13,east london,-33.0153,27.9116,71.28,87,100,10.31,ZA,1675807235
14,longyearbyen,78.2186,15.6401,21.04,86,100,37.98,SJ,1675807079
15,klaksvik,62.2266,-6.589,47.32,86,100,53.24,FO,1675807353
16,jamestown,42.097,-79.2353,48.02,70,100,9.22,US,1675807141
17,cayenne,4.9333,-52.3333,77.04,94,75,3.44,GF,1675807364
18,havre-saint-pierre,50.2334,-63.5986,15.8,66,0,8.05,CA,1675807365
19,key west,24.5557,-81.7826,79.0,65,10,18.99,US,1675807316
20,hilo,19.7297,-155.09,73.13,96,100,5.01,US,1675807158
21,ahtopol,42.1,27.95,32.02,77,100,17.02,BG,1675807365
22,aklavik,68.2191,-135.0107,-20.2,69,100,2.3,CA,1675807365
23,mahebourg,-20.4081,57.7,80.89,74,40,13.8,MU,1675807366
24,gimli,50.6336,-96.9907,21.22,79,50,14.97,CA,1675807152
25,myitkyina,25.3833,97.4,53.94,66,0,1.61,MM,1675807373
26,khingansk,49.1167,131.1833,-22.04,98,32,2.68,RU,1675807373
27,punta arenas,-53.15,-70.9167,60.91,55,75,16.11,CL,1675807156
28,new norfolk,-42.7826,147.0587,58.5,62,8,0.58,AU,1675807164
29,ushuaia,-54.8,-68.3,55.06,54,40,11.5,AR,1675807373
30,bethel,41.3712,-73.414,37.49,63,0,6.91,US,1675807374
31,japura,-0.3167,102.35,72.61,94,100,1.45,ID,1675807379
32,tulum,20.2167,-87.4667,77.72,78,1,8.97,MX,1675807247
33,thompson,55.7435,-97.8558,1.56,78,100,4.61,CA,1675807255
34,tahta,26.7693,31.5021,49.59,44,75,6.76,EG,1675807393
35,churapcha,62.0025,132.4325,-43.64,100,99,1.86,RU,1675807404
36,hermanus,-34.4187,19.2345,68.81,80,62,12.73,ZA,1675807405
37,green river,41.5286,-109.4662,32.99,65,54,7.0,US,1675807415
38,bredasdorp,-34.5322,20.0403,67.35,74,93,9.46,ZA,1675807417
39,busselton,-33.65,115.3333,62.69,84,27,9.62,AU,1675807406
40,malbork,54.0359,19.0266,33.04,96,56,4.88,PL,1675807418
41,ostrovnoy,68.0531,39.5131,34.02,75,80,25.08,RU,1675807420
42,lorengau,-2.0226,147.2712,78.82,89,100,12.28,PG,1675807422
43,chuy,-33.6971,-53.4616,75.85,66,0,10.78,UY,1675807422
44,san cristobal,7.7669,-72.225,78.98,47,29,3.67,VE,1675807248
45,nome,64.5011,-165.4064,-4.85,91,0,3.44,US,1675807422
46,lebu,-37.6167,-73.65,62.28,77,0,17.49,CL,1675807423
47,kaitangata,-46.2817,169.8464,53.4,74,95,12.71,NZ,1675807423
48,cherepet,54.1178,36.3788,5.52,98,60,1.92,RU,1675807424
49,tuatapere,-46.1333,167.6833,53.02,71,67,14.56,NZ,1675807425
50,port alfred,-33.5906,26.891,70.18,92,100,1.99,ZA,1675807197
51,khatanga,71.9667,102.5,-47.18,100,77,1.97,RU,1675807199
52,dikson,73.5069,80.5464,-12.26,92,100,20.45,RU,1675807425
53,atuona,-9.8,-139.0333,78.37,78,11,15.3,PF,1675807170
54,jinchang,38.4953,102.1739,27.23,48,100,6.49,CN,1675807425
55,barrow,71.2906,-156.7887,-7.58,84,100,8.05,US,1675807177
56,bambous virieux,-20.3428,57.7575,80.85,74,40,13.8,MU,1675807426
57,nizhniy tsasuchey,50.5167,115.1333,-0.24,92,7,7.16,RU,1675807426
58,hakui,36.8833,136.7833,42.24,80,100,8.1,JP,1675807426
59,saint-philippe,-21.3585,55.7679,80.19,84,81,13.56,RE,1675807181
60,comodoro rivadavia,-45.8667,-67.5,76.86,25,0,9.22,AR,1675807427
61,itaituba,-4.2761,-55.9836,82.56,83,40,0.0,BR,1675807427
